length,width,perimeter
644.8818213387916,492.26524762670255,2274.294137930988
43.503705648661374,329.481169068406,745.9697494341348
465.9178018524259,766.0144699184679,2463.8645435417875
274.4775941518062,528.3079203550315,1605.5710290136753
317.4488470394774,492.868108696984,1620.6339114729228
42.51257314434017,367.56430308540314,820.1537524594867
159.73085106351863,626.7969225138784,1573.055547154794
106.62250308278415,176.27049311868956,565.7859924029474
231.26629660342257,609.3650841101642,1681.2627614271735
391.9472757412225,969.698072156306,2723.290695795057
943.7275311163222,495.64907712726705,2878.7532164871786
172.69362964315025,915.8032879407807,2176.993835167862
439.79270339743874,509.79002614881153,1899.1654590925004
368.2000125079807,904.8648775406567,2546.1297800972748
467.6887692595155,811.2389875775649,2557.8555136741606
903.4252742993867,652.2008562320916,3111.2522610629567
667.9581358689124,925.0320995972419,3185.980470932309
809.6802895269337,851.7865565121356,3322.933692078139
646.0309007142532,112.80203273580274,1517.665866900112
894.7831434187317,703.1381989815671,3195.8426848005975
456.5936999346999,941.6963247958311,2796.580049461062
372.0253251343768,547.9621808089729,1839.9750118866996
245.49900111598674,463.93079379278447,1418.8595898175424
773.3853708684686,462.79966141722656,2472.3700645713902
830.0557638061504,666.3572702708502,2992.8260681540014
866.3206421887484,386.21919175756517,2505.079667892627
946.9824518047917,369.17056684961835,2632.30603730882
30.204983799063733,769.0272070314346,1598.4643816609967
732.0875014367086,289.7178091301369,2043.610621133691
752.0608030640069,797.4771234411369,3099.0758530102876
770.8708421442817,802.306712341722,3146.3551089720077
484.65938050596884,945.5618776153516,2860.442516242641
705.7109499505187,814.9345147524997,3041.290929406037
953.117944614247,264.9810141353803,2436.197917499255
320.94199005745304,715.2031875033359,2072.2903551215777
568.6924377480299,975.1214089966545,3087.6276934893685
328.4417239080154,944.5488042676087,2545.9810563512483
660.9319040727454,998.0233912269396,3317.91059059937
850.2019718653498,447.46022145647214,2595.324386643644
303.99048759230055,539.7463887509522,1687.4737526865056
140.75954812477804,765.6358892604297,1812.7908747704155
449.9271174429529,447.0189089901868,1793.8920528662793
724.4174208023993,955.7646676649528,3360.364176934704
526.0923501199497,491.41560590381425,2035.015912047528
173.98280368754303,826.3157488246263,2000.5971050243388
331.6354775860981,239.09962417475663,1141.4702035217094
450.7420276375227,843.752811211764,2588.9896776985734
31.24822946737191,336.27844675466315,735.0533524440701
950.4951043600124,15.153889738073513,1931.297988196172
517.7193549263459,440.7185908691195,1916.8758915909307
761.0885652012159,498.8518767580786,2519.880883918589
723.0760490826352,56.89603254149222,1559.9441632482549
155.1309672741265,989.1020189346931,2288.465972417639
25.39738120448315,187.6850255532514,426.16481351546906
477.9701125294282,460.2779247185708,1876.496074495998
849.2317426639806,525.9028485080028,2750.269182343967
695.0132178509789,505.5535687113929,2401.1335731247436
9.309511954150981,226.55816460460636,471.7353531175147
215.15719894216485,363.95992414639153,1158.2342461771127
455.801234672489,288.2217090775434,1488.0458875000647
715.1571030942658,159.20791406515954,1748.7300343188508
588.067343316454,645.4544152051657,2467.0435170432393
333.3236430088567,872.125807443832,2410.8989009053776
645.2299628101418,613.2190925939246,2516.898110808133
767.4092954125571,146.82093616793622,1828.4604631609866
503.8121533457564,517.8176832273766,2043.259673146266
898.6030010520135,281.350853172175,2359.907708448377
937.1053640815568,713.6911758686208,3301.5930799003554
218.11282683588118,122.28744318993208,680.8005400516265
68.01373610917325,389.3564345144032,914.7403412471529
399.27398554715376,358.75990661942586,1516.0677843331591
47.11068610594399,837.4842056881383,1769.1897835881646
720.9551481519343,132.13362122362147,1706.1775387511116
746.6271580418146,553.4816226127921,2600.217561309213
649.6512154357087,635.7291830638738,2570.760796999165
550.7651960832469,961.2972587572239,3024.1249096809415
321.37339743159987,79.26127428121124,801.2693434256222
86.24939008559286,728.1146652739139,1628.7281107190136
970.5112724866258,182.04824563974512,2305.119036252742
886.3909806858749,364.1425026840116,2501.066966739773
583.252685298335,384.5065805925635,1935.518531781797
524.1452817250808,276.84534068449494,1601.9812448191515
162.8983475115424,61.00185375681005,447.8004025367049
692.6932385383722,514.6879984312947,2414.7624739393336
66.50613464688604,339.7796482716319,812.5715658370359
120.97099224456974,192.79059573204356,627.5231759532267
779.7396426882455,582.4448733419416,2724.369032060374
925.3093763918562,989.8072788587227,3830.2333105011576
367.58011951460617,166.2963528401846,1067.7529447095815
231.9252368327178,183.85339858693627,831.5572708393081
573.6886043999806,990.7568374559986,3128.8908837119584
426.43261086438366,369.40976306717164,1591.6847478631107
235.67730301339287,54.164538269552075,579.6836825658899
446.8090214942127,431.8308460357877,1757.2797350600008
205.3636032456663,483.3125411533316,1377.3522887979957
861.3654538422445,316.37644213459424,2355.4837919536776
