length,width
644.8818213387916,492.26524762670255
465.9178018524259,766.0144699184679
943.7275311163222,495.64907712726705
439.79270339743874,509.79002614881153
467.6887692595155,811.2389875775649
903.4252742993867,652.2008562320916
667.9581358689124,925.0320995972419
809.6802895269337,851.7865565121356
646.0309007142532,112.80203273580274
894.7831434187317,703.1381989815671
456.5936999346999,941.6963247958311
773.3853708684686,462.79966141722656
830.0557638061504,666.3572702708502
866.3206421887484,386.21919175756517
946.9824518047917,369.17056684961835
732.0875014367086,289.7178091301369
752.0608030640069,797.4771234411369
770.8708421442817,802.306712341722
484.65938050596884,945.5618776153516
705.7109499505187,814.9345147524997
953.117944614247,264.9810141353803
568.6924377480299,975.1214089966545
660.9319040727454,998.0233912269396
850.2019718653498,447.46022145647214
449.9271174429529,447.0189089901868
724.4174208023993,955.7646676649528
526.0923501199497,491.41560590381425
450.7420276375227,843.752811211764
950.4951043600124,15.153889738073513
517.7193549263459,440.7185908691195
761.0885652012159,498.8518767580786
723.0760490826352,56.89603254149222
477.9701125294282,460.2779247185708
849.2317426639806,525.9028485080028
695.0132178509789,505.5535687113929
455.801234672489,288.2217090775434
715.1571030942658,159.20791406515954
588.067343316454,645.4544152051657
645.2299628101418,613.2190925939246
767.4092954125571,146.82093616793622
503.8121533457564,517.8176832273766
898.6030010520135,281.350853172175
937.1053640815568,713.6911758686208
720.9551481519343,132.13362122362147
746.6271580418146,553.4816226127921
649.6512154357087,635.7291830638738
550.7651960832469,961.2972587572239
970.5112724866258,182.04824563974512
886.3909806858749,364.1425026840116
583.252685298335,384.5065805925635
524.1452817250808,276.84534068449494
692.6932385383722,514.6879984312947
779.7396426882455,582.4448733419416
925.3093763918562,989.8072788587227
573.6886043999806,990.7568374559986
426.43261086438366,369.40976306717164
446.8090214942127,431.8308460357877
861.3654538422445,316.37644213459424
